ticker,collection_date,phase,days_from_apr2,optionSymbol,side,expiration,dte,underlyingPrice,strike,moneyness,moneyness_pct,moneyness_cat,bid,ask,mid,last,spread,relative_spread,is_illiquid,bidSize,askSize,volume,openInterest,intrinsicValue,extrinsicValue,inTheMoney,realised_vol,underlying,firstTraded,updated
AAPL,2025-08-11,3,131,AAPL250912C00255000,call,2025-09-12 20:00:00,32,227.18,255.0,1.1224579628488425,12.245796284884229,OTM,0.45,0.69,0.57,0.48,0.2399999999999999,0.4210526315789473,False,11,10,806,615,0.0,0.57,False,0.2832343001943923,AAPL,2025-07-31 13:30:00,2025-08-11 20:00:00
AAPL,2025-08-11,3,131,AAPL250912C00260000,call,2025-09-12 20:00:00,32,227.18,260.0,1.144466942512545,14.446694251254508,OTM,0.28,0.32,0.3,0.28,0.0399999999999999,0.1333333333333332,False,6,1,122,335,0.0,0.3,False,0.2832343001943923,AAPL,2025-07-31 13:30:00,2025-08-11 20:00:00
AAPL,2025-08-11,3,131,AAPL250912C00265000,call,2025-09-12 20:00:00,32,227.18,265.0,1.166475922176248,16.647592217624787,OTM,0.18,0.2,0.19,0.19,0.02,0.1052631578947369,False,1,10,70,183,0.0,0.19,False,0.2832343001943923,AAPL,2025-07-31 13:30:00,2025-08-11 20:00:00
AAPL,2025-08-11,3,131,AAPL250912C00270000,call,2025-09-12 20:00:00,32,227.18,270.0,1.1884849018399506,18.848490183995068,OTM,0.11,0.14,0.125,0.15,0.03,0.2400000000000001,False,25,9,75,85,0.0,0.125,False,0.2832343001943923,AAPL,2025-07-31 13:30:00,2025-08-11 20:00:00
AAPL,2025-08-11,3,131,AAPL250912C00275000,call,2025-09-12 20:00:00,32,227.18,275.0,1.2104938815036534,21.049388150365345,OTM,0.08,0.1,0.09,0.13,0.02,0.2222222222222222,False,7,18,12,135,0.0,0.09,False,0.2832343001943923,AAPL,2025-07-31 13:30:00,2025-08-11 20:00:00
AAPL,2025-08-11,3,131,AAPL250912P00180000,put,2025-09-12 20:00:00,32,227.18,180.0,0.7923232678933004,-20.76767321066996,OTM,0.13,0.27,0.2,0.24,0.14,0.7000000000000001,False,13,2,68,201,0.0,0.2,False,0.2832343001943923,AAPL,2025-07-31 13:30:00,2025-08-11 20:00:00
AAPL,2025-08-11,3,131,AAPL250912P00185000,put,2025-09-12 20:00:00,32,227.18,185.0,0.8143322475570033,-18.56677524429968,OTM,0.19,0.36,0.275,0.29,0.1699999999999999,0.618181818181818,False,18,3,91,480,0.0,0.275,False,0.2832343001943923,AAPL,2025-07-31 13:30:00,2025-08-11 20:00:00
AAPL,2025-08-11,3,131,AAPL250912P00190000,put,2025-09-12 20:00:00,32,227.18,190.0,0.836341227220706,-16.365877277929396,OTM,0.4,0.5,0.45,0.44,0.0999999999999999,0.2222222222222221,False,1,30,86,528,0.0,0.45,False,0.2832343001943923,AAPL,2025-07-31 13:30:00,2025-08-11 20:00:00
AAPL,2025-08-11,3,131,AAPL250912P00195000,put,2025-09-12 20:00:00,32,227.18,195.0,0.8583502068844088,-14.16497931155912,OTM,0.35,0.66,0.505,0.6,0.31,0.613861386138614,False,6,8,197,288,0.0,0.505,False,0.2832343001943923,AAPL,2025-07-31 13:30:00,2025-08-11 20:00:00
AAPL,2025-08-11,3,131,AAPL250912P00200000,put,2025-09-12 20:00:00,32,227.18,200.0,0.8803591865481116,-11.96408134518884,OTM,0.6,0.9,0.75,0.82,0.3,0.4000000000000001,False,1,19,287,1199,0.0,0.75,False,0.2832343001943923,AAPL,2025-07-31 13:30:00,2025-08-11 20:00:00
AAPL,2025-08-11,3,131,AAPL250912P00205000,put,2025-09-12 20:00:00,32,227.18,205.0,0.9023681662118144,-9.76318337881856,OTM,1.0,1.2,1.1,1.15,0.1999999999999999,0.1818181818181817,False,10,12,249,337,0.0,1.1,False,0.2832343001943923,AAPL,2025-07-31 13:30:00,2025-08-11 20:00:00
